Algorithm;Input_name;Input_description;Runs_warmup;Runs_actual;AVG Result;Input_length;Input_values
Algorithms.BubbleSortUntilNoChange;Unsorted input;No description;1000;100000;287;10;[-1155869325, 431529176, 1761283695, 1749940626, 892128508, 155629808, 1429008869, -1465154083, -138487339, -1242363800]
Algorithms.BubbleSortPassPerItem;Unsorted input;No description;1000;100000;775;10;[-1155869325, 431529176, 1761283695, 1749940626, 892128508, 155629808, 1429008869, -1465154083, -138487339, -1242363800]
Algorithms.BubbleSortWhileNeeded;Unsorted input;No description;1000;100000;304;10;[-1155869325, 431529176, 1761283695, 1749940626, 892128508, 155629808, 1429008869, -1465154083, -138487339, -1242363800]
Algorithms.BubbleSortUntilNoChange;Sorted input;No description;1000;100000;11;10;[-1915244828, -382464772, -270230103, -258276172, -226796111, -155886662, 26273138, 655996946, 685382526, 2092024379]
Algorithms.BubbleSortPassPerItem;Sorted input;No description;1000;100000;138;10;[-1915244828, -382464772, -270230103, -258276172, -226796111, -155886662, 26273138, 655996946, 685382526, 2092024379]
Algorithms.BubbleSortWhileNeeded;Sorted input;No description;1000;100000;8;10;[-1915244828, -382464772, -270230103, -258276172, -226796111, -155886662, 26273138, 655996946, 685382526, 2092024379]
Algorithms.BubbleSortUntilNoChange;Sorted reverse input;No description;1000;100000;230;10;[1705850753, 1584853918, 1492578621, 1262965348, 684358198, 498074875, -369526632, -582126989, -1978864692, -2119636700]
Algorithms.BubbleSortPassPerItem;Sorted reverse input;No description;1000;100000;229;10;[1705850753, 1584853918, 1492578621, 1262965348, 684358198, 498074875, -369526632, -582126989, -1978864692, -2119636700]
Algorithms.BubbleSortWhileNeeded;Sorted reverse input;No description;1000;100000;178;10;[1705850753, 1584853918, 1492578621, 1262965348, 684358198, 498074875, -369526632, -582126989, -1978864692, -2119636700]
Algorithms.BubbleSortUntilNoChange;Unsorted input;No description;1000;100000;18431;100;[-985540886, -1789481587, -1460749695, 181670012, 673222727, -1023599386, 1624365379, -1615025656, 600276151, -518561627, -1310188465, 1933673321, -836540342, 20841474, 21582955, -634566111, -2048118856, 100579776, -1099578295, -1266972581, 609982904, 1181244667, 2069007352, 323788111, -1956122223, -1672496605, -1816340580, -193570837, 880097008, 1177117768, -1617640095, 816912303, 793310972, 5577367, 45889196, -1359243304, 691675816, 2088469028, 764739731, 2093861056, -1973979577, 543635433, -112382065, 559242116, 1054099045, 885948174, 1694454384, -662903833, 934594003, 1746079594, 1855455376, -215436171, 1001396483, -2058237879, -472838325, 1663228139, 164612758, 1165249391, -1750717778, 484561621, -1481018061, 982697053, 514704749, -34866055, -1492601190, -1777049646, -67333094, -162286093, 887930872, 1138833300, 1609107348, 1558626465, 1990072188, -522144145, 1432844988, 1248685248, 1903583017, 220969086, -2129721489, 788299095, -4377362, -1559630936, -1587398993, 1193731667, -388333581, 1464218733, -2114584541, 1141557491, 2110766901, 501095138, 1841614017, 587682406, 1323248980, -1949531143, -1214091063, 2124374193, -161428053, 66075398, 899764468, 1541870038]
Algorithms.BubbleSortPassPerItem;Unsorted input;No description;1000;100000;20038;100;[-985540886, -1789481587, -1460749695, 181670012, 673222727, -1023599386, 1624365379, -1615025656, 600276151, -518561627, -1310188465, 1933673321, -836540342, 20841474, 21582955, -634566111, -2048118856, 100579776, -1099578295, -1266972581, 609982904, 1181244667, 2069007352, 323788111, -1956122223, -1672496605, -1816340580, -193570837, 880097008, 1177117768, -1617640095, 816912303, 793310972, 5577367, 45889196, -1359243304, 691675816, 2088469028, 764739731, 2093861056, -1973979577, 543635433, -112382065, 559242116, 1054099045, 885948174, 1694454384, -662903833, 934594003, 1746079594, 1855455376, -215436171, 1001396483, -2058237879, -472838325, 1663228139, 164612758, 1165249391, -1750717778, 484561621, -1481018061, 982697053, 514704749, -34866055, -1492601190, -1777049646, -67333094, -162286093, 887930872, 1138833300, 1609107348, 1558626465, 1990072188, -522144145, 1432844988, 1248685248, 1903583017, 220969086, -2129721489, 788299095, -4377362, -1559630936, -1587398993, 1193731667, -388333581, 1464218733, -2114584541, 1141557491, 2110766901, 501095138, 1841614017, 587682406, 1323248980, -1949531143, -1214091063, 2124374193, -161428053, 66075398, 899764468, 1541870038]
Algorithms.BubbleSortWhileNeeded;Unsorted input;No description;1000;100000;12569;100;[-985540886, -1789481587, -1460749695, 181670012, 673222727, -1023599386, 1624365379, -1615025656, 600276151, -518561627, -1310188465, 1933673321, -836540342, 20841474, 21582955, -634566111, -2048118856, 100579776, -1099578295, -1266972581, 609982904, 1181244667, 2069007352, 323788111, -1956122223, -1672496605, -1816340580, -193570837, 880097008, 1177117768, -1617640095, 816912303, 793310972, 5577367, 45889196, -1359243304, 691675816, 2088469028, 764739731, 2093861056, -1973979577, 543635433, -112382065, 559242116, 1054099045, 885948174, 1694454384, -662903833, 934594003, 1746079594, 1855455376, -215436171, 1001396483, -2058237879, -472838325, 1663228139, 164612758, 1165249391, -1750717778, 484561621, -1481018061, 982697053, 514704749, -34866055, -1492601190, -1777049646, -67333094, -162286093, 887930872, 1138833300, 1609107348, 1558626465, 1990072188, -522144145, 1432844988, 1248685248, 1903583017, 220969086, -2129721489, 788299095, -4377362, -1559630936, -1587398993, 1193731667, -388333581, 1464218733, -2114584541, 1141557491, 2110766901, 501095138, 1841614017, 587682406, 1323248980, -1949531143, -1214091063, 2124374193, -161428053, 66075398, 899764468, 1541870038]
Algorithms.BubbleSortUntilNoChange;Sorted input;No description;1000;100000;128;100;[-2107166615, -2106711811, -2066794714, -2036710432, -2032696423, -1976707769, -1937234195, -1909248706, -1874850606, -1770317568, -1757200775, -1754755685, -1732680838, -1723860308, -1700877091, -1645181299, -1644345913, -1584027382, -1556936681, -1538299695, -1535956081, -1484702883, -1484228984, -1374666904, -1292756720, -1290244369, -1290234115, -1258235519, -1255126121, -1243071905, -1188109742, -1160397415, -1121163101, -1098439530, -953841937, -905419263, -898286980, -854023886, -843451650, -823599426, -755996415, -748389899, -703021893, -671409943, -645787831, -587303352, -530674760, -513861514, -486428995, -384115204, -305063612, -226515880, -126179518, -72571307, -55395904, 37625698, 77321958, 120776076, 187701662, 236746071, 272512398, 313644362, 318033418, 387176550, 428424204, 471763713, 531163870, 599636740, 658187541, 665612534, 700524315, 741521057, 748918191, 878903023, 893258567, 966463784, 1037687982, 1041436542, 1094827726, 1112362630, 1142045419, 1165195938, 1202597766, 1206322533, 1219810066, 1254531672, 1306683493, 1377758715, 1517580277, 1519659436, 1546424057, 1575270834, 1601478698, 1614083908, 1817770749, 1835464617, 1874472537, 1878716128, 1900678724, 2069583057]
